date,fiscal_year,product_code,customer_code,sold_quantity,forecast_quantity
2017-09-01,2018,A0118150101,70002017,51,18
2017-09-01,2018,A0118150101,70002018,77,11
2017-09-01,2018,A0118150101,70003181,17,9
2017-09-01,2018,A0118150101,70003182,6,6
2017-09-01,2018,A0118150101,70006157,5,5
2017-09-01,2018,A0118150101,70006158,7,6
2017-09-01,2018,A0118150101,70007198,29,4
2017-09-01,2018,A0118150101,70007199,34,7
2017-09-01,2018,A0118150101,70008169,22,7
2017-09-01,2018,A0118150101,70008170,5,8
2017-09-01,2018,A0118150101,70011193,10,5
2017-09-01,2018,A0118150101,70011194,4,7
2017-09-01,2018,A0118150101,70012042,0,0
2017-09-01,2018,A0118150101,70012043,0,0
2017-09-01,2018,A0118150101,70013125,1,2
2017-09-01,2018,A0118150101,70013126,1,2
2017-09-01,2018,A0118150101,70016178,1,0
2017-09-01,2018,A0118150101,70022085,20,12
2017-09-01,2018,A0118150101,70023031,4,1
2017-09-01,2018,A0118150101,80001019,10,7
2017-09-01,2018,A0118150101,80006154,10,21
2017-09-01,2018,A0118150101,80006155,28,21
2017-09-01,2018,A0118150101,80007195,80,62
2017-09-01,2018,A0118150101,90001021,1,2
2017-09-01,2018,A0118150101,90002001,42,52
2017-09-01,2018,A0118150101,90002002,40,47
2017-09-01,2018,A0118150101,90002003,54,56
2017-09-01,2018,A0118150101,90002005,77,40
2017-09-01,2018,A0118150101,90002006,30,32
2017-09-01,2018,A0118150101,90002007,67,44
2017-09-01,2018,A0118150101,90002009,47,48
2017-09-01,2018,A0118150101,90002010,58,17
2017-09-01,2018,A0118150101,90002011,21,42
2017-09-01,2018,A0118150101,90002013,17,34
2017-09-01,2018,A0118150101,90002014,16,68
2017-09-01,2018,A0118150101,90002015,32,43
2017-09-01,2018,A0118150101,90003179,15,6
2017-09-01,2018,A0118150101,90006153,9,3
2017-09-01,2018,A0118150101,90007197,48,16
2017-09-01,2018,A0118150101,90008165,9,16
2017-09-01,2018,A0118150101,90008166,12,11
2017-09-01,2018,A0118150101,90008167,10,17
2017-09-01,2018,A0118150101,90011185,3,2
2017-09-01,2018,A0118150101,90011186,2,8
2017-09-01,2018,A0118150101,90011187,2,7
2017-09-01,2018,A0118150101,90011189,5,7
2017-09-01,2018,A0118150101,90011190,10,3
2017-09-01,2018,A0118150101,90011191,14,8
2017-09-01,2018,A0118150101,90012033,0,0
2017-09-01,2018,A0118150101,90012034,0,0
2017-09-01,2018,A0118150101,90012035,0,0
2017-09-01,2018,A0118150101,90012037,0,0
2017-09-01,2018,A0118150101,90012038,0,0
2017-09-01,2018,A0118150101,90012039,0,0
2017-09-01,2018,A0118150101,90012041,0,0
2017-09-01,2018,A0118150101,90013117,1,2
2017-09-01,2018,A0118150101,90013118,2,1
2017-09-01,2018,A0118150101,90013119,2,1
2017-09-01,2018,A0118150101,90013121,3,2
2017-09-01,2018,A0118150101,90013122,3,1
2017-09-01,2018,A0118150101,90013123,3,2
2017-09-01,2018,A0118150101,90016171,0,1
2017-09-01,2018,A0118150101,90016173,1,1
2017-09-01,2018,A0118150101,90016175,1,1
2017-09-01,2018,A0118150101,90022071,21,13
2017-09-01,2018,A0118150101,90022073,18,7
2017-09-01,2018,A0118150101,90022074,39,5
2017-09-01,2018,A0118150101,90022075,19,6
2017-09-01,2018,A0118150101,90022077,10,8
2017-09-01,2018,A0118150101,90022078,20,6
2017-09-01,2018,A0118150101,90022079,29,14
2017-09-01,2018,A0118150101,90022081,37,7
2017-09-01,2018,A0118150101,90022082,6,15
2017-09-01,2018,A0118150101,90022083,10,5
2017-09-01,2018,A0118150101,90023022,5,1
2017-09-01,2018,A0118150101,90023023,1,5
2017-09-01,2018,A0118150101,90023025,1,3
2017-09-01,2018,A0118150101,90023026,2,2
2017-09-01,2018,A0118150101,90023027,1,2
2017-09-01,2018,A0118150101,90023029,2,2
2017-09-01,2018,A0118150101,90023030,4,1
